eventId,choiceId,textKo,requirementMetricId,requirementComparator,requirementValue,nextEventId
first_print,first_print_gazette,관보를 발행한다,,,,
first_print,first_print_textbook,교본을 보급한다,,,,
first_print,first_print_leaflet,상업 전단을 허용한다,,,,
promise_of_steam,steam_factory,공장을 우선한다,,,,
promise_of_steam,steam_construction,건설을 우선한다,,,,
promise_of_steam,steam_safety,안전 규정을 도입한다,,,,
information_deluge,information_open,개방망을 구축한다,,,,
information_deluge,information_control,통제망을 구축한다,,,,
information_deluge,information_commerce,상업망을 구축한다,,,,
breadline_rumor,bread_ration,배급을 시행한다,,,,
breadline_rumor,bread_import,긴급 수입한다,,,,
breadline_rumor,bread_market,시장에 맡긴다,,,,
wood_flood,wood_public_building,공공 건축에 투입한다,,,,
wood_flood,wood_furniture,가구 생산을 장려한다,,,,
wood_flood,wood_reserve,비축을 유지한다,,,,
black_winter_coal,coal_subsidy,광산에 보조금을 지급한다,,,,
black_winter_coal,coal_shutdown,공장을 임시 휴업한다,,,,
black_winter_coal,coal_alternative,대체 연료를 연구한다,,,,
founding_conference,founding_centralize,중앙집권을 추진한다,,,,
founding_conference,founding_federal,연방 타협을 수용한다,,,,
founding_conference,founding_merchants,상인의 후원을 받는다,,,,
franchise_petition,franchise_accept,청원을 수용한다,,,,
franchise_petition,franchise_committee,위원회에 회부한다,,,,
franchise_petition,franchise_reject,청원을 거부한다,,,,
welfare_budget_wave,welfare_tax,세율을 인상한다,,,,
welfare_budget_wave,welfare_reduce,복지 축소안을 채택한다,,,,
welfare_budget_wave,welfare_bond,국채를 발행한다,,,,
dream_previous_civilization,dream_economy,경제의 기억을 택한다,,,,
dream_previous_civilization,dream_knowledge,지식의 기억을 택한다,,,,
dream_previous_civilization,dream_governance,통치의 기억을 택한다,,,,
challenger_invitation,challenge_accept,특수 제약 도전을 수락한다,,,,
challenger_invitation,challenge_decline,이번에는 거절한다,,,,
challenger_invitation,challenge_review,조건을 검토한다,,,,
blank_chronicle_page,chronicle_hint,무료 힌트를 추적한다,,,,
blank_chronicle_page,chronicle_pay,환생 포인트로 확정 단서를 산다,,,,
blank_chronicle_page,chronicle_wait,자연 발견을 기다린다,,,,
ruins_beneath_foundation,ruins_excavate,발굴한다,,,,
ruins_beneath_foundation,ruins_preserve,보존한다,,,,
ruins_beneath_foundation,ruins_cover,덮고 공사를 계속한다,,,,
rivalry_of_great_people,rival_sponsor,한 명을 후원한다,,,,
rivalry_of_great_people,rival_cooperate,공동 프로젝트를 지시한다,,,,
rivalry_of_great_people,rival_ignore,경쟁을 방치한다,,,,
last_blueprint,blueprint_dedication,완공에 헌신하게 한다,,,,
last_blueprint,blueprint_successor,후계를 양성하게 한다,,,,
last_blueprint,blueprint_memoir,회고록을 집필하게 한다,,,,
