건물,해금기술,건물 최초해금,추가투입자원,산출물,추가산출량
밀농장,원시 농경,O,X,밀,1
집,원시 건축,O,X,인구,1
벌목장,목재 가공,O,X,나무,1
공구공장,석기 제작,O,나무,공구,1
약초밭,채집 지식,O,X,약초,1
목축장,가축 길들이기,O,X,고기,1
목축장,털 손질,X,X,직물,1
밀농장,저장법,X,X,밀,1
의복 공방,뼈바늘,O,직물,의복,1
채석장,돌 다듬기,O,X,석재,1
공구공장,돌 다듬기,X,석재,공구,1
밀농장,달력,X,X,밀,1
구리 광산,청동 제련,O,X,구리,1
집,문자 발명,X,X,과학,1
집,도시 계획,X,X,인구,1
채석장,벽돌 건축,X,X,석재,1
집,벽돌 건축,X,석재,인구,1
밀농장,수레,X,공구,밀,1
벌목장,수레,X,공구,나무,1
수도,조세 제도,X,X,국고,0.05
금 광산,귀금속 활용,O,X,귀금속,1
밀농장,관개 농업,X,X,밀,1
공구공장,청동 도구,X,구리,공구,1
기호품 공장,약초 재배,O,X,기호품,1
철 광산,철 제련,O,X,철,1
공구공장,철 제련,X,철,공구,1
벌목장,철제 도구,X,공구,나무,1
채석장,철제 도구,X,공구,석재,1
금 광산,화폐 주조,X,X,귀금속,1
약품 공방,약초 가공,O,약초,약품,1
밀농장,고전 농법,X,X,밀,1
유리 공방,유리 제작,O,석재,유리,1
가구 공방,장인 작업장,O,X,가구,1
종이 공방,제지술,O,X,종이,1
수도,정규 조세,X,X,국고,0.05
밀농장,삼포제,X,X,밀,1
목축장,삼포제,X,밀,고기,1
목축장,삼포제,X,밀,직물,1
식료품 공장,풍차,O,밀,식료품,1
공구공장,수차,X,X,공구,1
가구 공방,길드,X,공구,가구,1
의복 공방,재단술,X,X,의복,1
집,석조 주택,X,석재,인구,1
약초밭,약초학,X,X,약초,1
기호품 공장,약초학,X,X,기호품,1
구리 광산,광산 배수,X,공구,구리,1
금 광산,광산 배수,X,공구,귀금속,1
철 광산,광산 배수,X,공구,철,1
집,성곽 건축,X,X,인구,1
수도,장부 회계,X,X,국고,0.05
학교,대학,O,종이,과학,1
종이 공방,대학,X,X,종이,1
인쇄소,인쇄술,O,X,종이,2
수도,복식부기,X,X,국고,0.05
벌목장,대형 선박,X,X,나무,1
공구공장,정밀 공구,X,철,공구,2
유리 공방,유리 렌즈,X,X,유리,1
학교,유리 렌즈,X,유리,과학,1
화약 공방,화약 제조,O,유황,폭약,1
유황 광산,유황 채굴,O,X,유황,1
약품 공방,해부학,X,약초,약품,1
밀농장,상업 농장,X,X,밀,1
가구 공방,고급 가구,X,나무,가구,1
가구 공방,고급 가구,X,직물,가구,1
방직 공장,직조기,O,공구,직물,2
석탄 광산,석탄 채굴,O,X,석탄,1
기계부품 공장,증기기관,O,철/석탄/유리,기계부품,1
공구공장,공장제,X,석탄,공구,2
방직 공장,방직기,X,석탄,직물,2
식료품 공장,제분 공장,X,밀,식료품,2
콘크리트 공장,콘크리트,O,석재/석탄,콘크리트,1
구리 광산,철도,X,기계부품,구리,2
석탄 광산,철도,X,기계부품,석탄,2
철 광산,철도,X,기계부품,철,2
금 광산,철도,X,기계부품,귀금속,2
비료 공장,비료 화학,O,유황,비료,1
밀농장,비료 화학,X,비료,밀,2
구리 광산,다이너마이트,X,폭약,구리,2
석탄 광산,다이너마이트,X,폭약,석탄,2
철 광산,다이너마이트,X,폭약,철,2
금 광산,다이너마이트,X,폭약,귀금속,2
약품 공방,근대 병원,X,X,약품,2
수도,대량 조세,X,X,국고,0.05
철 광산,강철 설비,X,석탄,철,2
구리 광산,구리 전선,X,X,구리,2
기계부품 공장,발전기,X,구리,기계부품,1
공장 계열,전력망,X,석탄,각 생산품,1
유리 공방,전등,X,X,유리,1
석유 시추장,내연기관,O,X,석유,1
기계부품 공장,자동차 부품,X,석유,기계부품,2
비료 공장,합성 비료,X,석유,비료,2
비료 공장,합성 비료,X,유황,비료,2
식료품 공장,냉장 창고,X,X,식료품,1
방직 공장,전기 방직,X,구리,직물,2
공구공장,전기 조립,X,기계부품,공구,2
수도,근대 세무,X,X,국고,0.04
약품 공방,제약 설비,X,유리,약품,2
플라스틱 공장,석유화학,O,석유,플라스틱,1
식료품 공장,플라스틱 용기,X,플라스틱,식료품,1
방직 공장,합성섬유,X,플라스틱,직물,2
의복 공방,현대 의류,X,직물,의복,2
의복 공방,현대 의류,X,플라스틱,의복,2
기계부품 공장,자동화 설비,X,구리,기계부품,2
기계부품 공장,자동화 설비,X,석유,기계부품,2
우라늄 광산,원자력,O,X,우라늄,1
콘크리트 공장,고성능 콘크리트,X,석유,콘크리트,2
약품 공방,합성 약품,X,석유,약품,2
약품 공방,합성 약품,X,약초,약품,2
유리 공방,정밀 유리,X,석탄,유리,1
유리 공방,정밀 유리,X,구리,유리,1
가구 공방,포장 가구,X,플라스틱,가구,1
수도,현대 행정,X,X,국고,0.04
석탄 광산,대형 광산,X,기계부품,석탄,2
철 광산,대형 광산,X,기계부품,철,2
기계부품 공장,반도체 장비,X,유리,기계부품,2
기계부품 공장,반도체 장비,X,구리,기계부품,2
모든 광산,자동 물류,X,기계부품,원자원,1
밀농장,정밀 농업,X,비료,밀,3
밀농장,정밀 농업,X,기계부품,밀,3
약품 공방,바이오 의약,X,약초,약품,3
약품 공방,바이오 의약,X,유리,약품,3
공구공장,스마트 공장,X,기계부품,공구,3
식료품 공장,합성 식품,X,비료,식료품,2
식료품 공장,합성 식품,X,플라스틱,식료품,2
플라스틱 공장,탄소 소재,X,석유,플라스틱,2
기계부품 공장,고급 가전,X,구리,기계부품,1
기계부품 공장,고급 가전,X,플라스틱,기계부품,1
수도,데이터 세무,X,X,국고,0.03
우라늄 광산,자동 채굴,X,기계부품,우라늄,2
석유 시추장,자동 채굴,X,기계부품,석유,2
의복 공방,스마트 의류,X,플라스틱,의복,2
의복 공방,스마트 의류,X,직물,의복,2
공장 계열,고도 자동화,X,기계부품,각 생산품,1
우라늄 광산,핵융합 소재,X,X,우라늄,2
기계부품 공장,나노 제조,X,플라스틱,기계부품,3
기계부품 공장,나노 제조,X,구리,기계부품,3
콘크리트 공장,초고강도 콘크리트,X,우라늄,콘크리트,2
콘크리트 공장,초고강도 콘크리트,X,석재,콘크리트,2
식료품 공장,인공 식량,X,비료,식료품,3
식료품 공장,인공 식량,X,약품,식료품,3
모든 광산,완전 자동 채굴,X,기계부품,원자원,3
의복 공방,합성 의복,X,플라스틱,의복,3
약품 공방,분자 약품,X,약초,약품,3
약품 공방,분자 약품,X,유리,약품,3
약품 공방,분자 약품,X,플라스틱,약품,3
공구공장,자율 공장,X,기계부품,공구,3
콘크리트 공장,궤도 건재,X,철,콘크리트,3
콘크리트 공장,궤도 건재,X,석재,콘크리트,3
수도,미래 세무,X,X,국고,0.03
유리 공방,초정밀 유리,X,구리,유리,3
유리 공방,초정밀 유리,X,석탄,유리,3
기계부품 공장,고밀도 기계,X,철,기계부품,3
기계부품 공장,고밀도 기계,X,구리,기계부품,3
기계부품 공장,고밀도 기계,X,플라스틱,기계부품,3
